 ,-180.0, -170.0, -160.0, -150.0, -140.0, -130.0, -120.0, -110.0, -100.0, -90.0, -80.0, -70.0, -60.0, -50.0, -40.0, -30.0, -20.0, -10.0, 0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0
0.01, 6.7, 6.4, 6.5, 6.5, 6.5, 6.4, 6.5, 6.4, 6.3, 6.3, 6.2, 6.3, 6.3, 6.2, 6.2, 6.2, 6.2, 6.2, 6.4, 6.2, 6.2, 6.2, 6.1, 6.1, 6.2, 6.2, 6.2, 6.2, 6.3, 6.3, 6.4, 6.3, 6.3, 6.3, 6.4, 6.4
0.01, 7.2, 6.9, 6.9, 6.9, 6.9, 6.8, 6.9, 6.8, 6.7, 6.7, 6.6, 6.7, 6.7, 6.6, 6.6, 6.7, 6.8, 6.7, 6.9, 6.6, 6.7, 6.6, 6.5, 6.5, 6.6, 6.6, 6.5, 6.7, 6.6, 6.7, 6.8, 6.7, 6.7, 6.8, 6.9, 6.9
0.03, 7.6, 7.2, 7.3, 7.3, 7.1, 7.1, 7.1, 6.9, 6.8, 6.9, 6.8, 6.9, 7.0, 6.9, 6.9, 7.0, 7.1, 7.0, 7.3, 6.9, 7.0, 7.0, 6.8, 6.8, 6.9, 6.8, 6.8, 6.9, 6.9, 7.0, 7.1, 7.0, 7.0, 7.2, 7.3, 7.2
0.04, 7.7, 7.4, 7.5, 7.5, 7.3, 7.3, 7.1, 6.9, 6.9, 7.1, 7.0, 7.1, 7.1, 7.1, 7.1, 7.2, 7.3, 7.2, 7.5, 7.1, 7.2, 7.2, 7.1, 7.0, 7.1, 7.0, 6.9, 7.1, 7.0, 7.2, 7.2, 7.2, 7.3, 7.5, 7.5, 7.4
0.04, 7.8, 7.5, 7.6, 7.6, 7.5, 7.4, 7.1, 7.0, 6.9, 7.1, 7.1, 7.2, 7.2, 7.2, 7.3, 7.4, 7.4, 7.3, 7.6, 7.3, 7.4, 7.4, 7.3, 7.2, 7.2, 7.2, 7.0, 7.2, 7.1, 7.3, 7.4, 7.4, 7.5, 7.6, 7.6, 7.6
0.06, 7.9, 7.6, 7.7, 7.7, 7.6, 7.4, 7.2, 7.0, 7.0, 7.2, 7.1, 7.2, 7.3, 7.2, 7.3, 7.5, 7.5, 7.4, 7.6, 7.4, 7.5, 7.5, 7.4, 7.3, 7.3, 7.3, 7.1, 7.3, 7.2, 7.3, 7.5, 7.5, 7.6, 7.8, 7.8, 7.6
0.07, 7.9, 7.6, 7.8, 7.8, 7.7, 7.5, 7.2, 7.0, 7.0, 7.2, 7.2, 7.3, 7.3, 7.3, 7.3, 7.5, 7.5, 7.4, 7.7, 7.5, 7.6, 7.5, 7.5, 7.4, 7.4, 7.3, 7.1, 7.3, 7.2, 7.4, 7.6, 7.6, 7.7, 7.9, 7.8, 7.7
0.08, 7.9, 7.6, 7.8, 7.8, 7.7, 7.5, 7.3, 7.1, 7.0, 7.3, 7.2, 7.2, 7.3, 7.3, 7.3, 7.5, 7.5, 7.4, 7.7, 7.5, 7.6, 7.6, 7.5, 7.4, 7.4, 7.3, 7.2, 7.4, 7.2, 7.4, 7.7, 7.6, 7.8, 7.9, 7.9, 7.7
0.08, 7.9, 7.7, 7.9, 7.8, 7.8, 7.5, 7.4, 7.2, 7.0, 7.3, 7.2, 7.2, 7.3, 7.3, 7.3, 7.5, 7.5, 7.4, 7.7, 7.5, 7.6, 7.6, 7.5, 7.4, 7.4, 7.3, 7.2, 7.4, 7.3, 7.5, 7.7, 7.7, 7.9, 7.9, 7.9, 7.7
0.10, 7.9, 7.7, 7.9, 7.8, 7.7, 7.5, 7.4, 7.2, 7.0, 7.2, 7.1, 7.2, 7.2, 7.3, 7.3, 7.5, 7.5, 7.4, 7.7, 7.5, 7.6, 7.6, 7.5, 7.4, 7.4, 7.4, 7.3, 7.4, 7.3, 7.5, 7.8, 7.7, 7.9, 8.0, 7.9, 7.8
