 ,-180.0, -170.0, -160.0, -150.0, -140.0, -130.0, -120.0, -110.0, -100.0, -90.0, -80.0, -70.0, -60.0, -50.0, -40.0, -30.0, -20.0, -10.0, 0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0
0.01, 8.5, 8.8, 8.7, 9.4, 9.1, 10.1, 12.7, 11.4, 8.9, 10.7, 8.6, 8.5, 8.3, 8.1, 8.0, 8.2, 8.2, 8.1, 8.5, 8.1, 8.2, 8.2, 8.3, 8.5, 8.5, 8.6, 8.7, 10.6, 8.8, 11.2, 12.4, 9.9, 9.0, 9.4, 8.7, 8.8
0.01, 6.7, 8.4, 7.6, 7.8, 8.0, 8.8, 11.1, 9.6, 9.3, 9.4, 8.9, 8.8, 8.6, 8.4, 8.2, 8.4, 8.4, 8.4, 8.7, 8.4, 8.4, 8.4, 8.5, 8.7, 8.7, 8.8, 8.9, 9.4, 9.3, 9.5, 11.1, 8.8, 8.1, 7.9, 7.5, 8.4
0.03, 6.5, 7.2, 6.6, 8.0, 6.9, 7.7, 9.8, 8.7, 8.8, 9.2, 8.4, 8.7, 8.6, 8.5, 8.3, 8.5, 8.5, 8.5, 8.9, 8.5, 8.5, 8.5, 8.6, 8.8, 8.7, 8.8, 8.5, 9.3, 8.8, 8.8, 9.8, 7.7, 7.0, 8.1, 6.5, 7.2
0.04, 7.2, 6.6, 6.3, 8.7, 6.5, 7.7, 9.9, 8.5, 7.7, 9.3, 7.7, 8.4, 8.4, 8.5, 8.4, 8.6, 8.6, 8.5, 8.9, 8.6, 8.6, 8.6, 8.6, 8.7, 8.6, 8.6, 7.8, 9.2, 7.9, 8.7, 9.8, 7.8, 6.6, 8.8, 6.3, 6.5
0.04, 8.0, 6.6, 6.5, 9.4, 6.5, 8.0, 9.8, 7.5, 6.7, 7.9, 7.1, 7.9, 8.1, 8.3, 8.3, 8.6, 8.7, 8.6, 9.0, 8.6, 8.7, 8.7, 8.7, 8.7, 8.5, 8.2, 7.2, 8.1, 6.9, 7.7, 10.1, 8.3, 6.9, 9.4, 6.6, 6.6
0.06, 8.5, 6.9, 7.1, 9.8, 7.3, 8.5, 10.7, 8.2, 5.8, 8.1, 6.5, 7.4, 7.7, 8.2, 8.3, 8.7, 8.7, 8.6, 9.0, 8.7, 8.7, 8.7, 8.7, 8.6, 8.3, 7.8, 6.6, 8.4, 6.1, 8.1, 10.8, 8.7, 7.6, 9.9, 7.3, 6.9
0.07, 8.8, 7.1, 7.6, 10.0, 8.0, 9.1, 10.9, 7.7, 5.4, 7.0, 6.2, 7.0, 7.4, 8.0, 8.3, 8.7, 8.7, 8.7, 9.1, 8.7, 8.8, 8.7, 8.7, 8.6, 8.1, 7.4, 6.2, 7.1, 5.6, 7.9, 11.0, 9.2, 8.1, 10.1, 7.8, 7.2
0.08, 8.9, 7.4, 8.0, 10.1, 8.5, 9.5, 11.6, 8.9, 5.1, 8.4, 5.9, 6.7, 7.2, 7.9, 8.3, 8.7, 8.7, 8.7, 9.1, 8.7, 8.8, 8.8, 8.7, 8.5, 8.0, 7.1, 6.0, 8.2, 5.3, 8.9, 11.6, 9.7, 8.6, 10.2, 8.2, 7.4
0.08, 8.9, 7.6, 8.3, 10.1, 8.9, 9.9, 12.0, 8.7, 5.2, 7.2, 5.9, 6.5, 7.1, 7.8, 8.3, 8.7, 8.7, 8.7, 9.2, 8.8, 8.9, 8.8, 8.7, 8.5, 7.8, 6.8, 5.9, 7.5, 5.4, 8.7, 11.9, 9.9, 9.0, 10.2, 8.5, 7.7
0.10, 8.8, 7.7, 8.3, 10.0, 9.1, 10.0, 12.3, 9.4, 5.2, 8.5, 5.7, 6.4, 7.1, 7.8, 8.4, 8.7, 8.8, 8.7, 9.2, 8.8, 8.9, 8.8, 8.7, 8.5, 7.7, 6.6, 5.8, 8.7, 5.4, 9.5, 12.4, 10.1, 9.2, 10.2, 8.4, 7.9
0.11, 8.7, 7.8, 8.3, 10.0, 9.2, 10.1, 12.5, 9.3, 5.3, 8.3, 5.7, 6.4, 7.1, 7.8, 8.4, 8.8, 8.8, 8.8, 9.2, 8.8, 8.9, 8.9, 8.7, 8.5, 7.6, 6.5, 5.8, 8.5, 5.4, 9.5, 12.5, 10.2, 9.3, 10.2, 8.5, 8.0
0.11, 8.5, 7.8, 8.1, 9.9, 9.2, 10.1, 12.5, 9.5, 5.4, 8.4, 5.8, 6.4, 7.2, 7.9, 8.4, 8.8, 8.8, 8.8, 9.2, 8.8, 8.9, 8.9, 8.7, 8.5, 7.5, 6.4, 5.8, 8.7, 5.5, 9.5, 12.6, 10.2, 9.3, 10.1, 8.3, 8.0
0.17, 7.3, 6.8, 7.0, 9.2, 9.0, 9.9, 12.8, 10.0, 5.4, 9.2, 6.1, 6.8, 7.6, 8.1, 8.5, 8.8, 8.9, 8.9, 9.3, 8.9, 9.0, 8.9, 8.8, 8.5, 7.6, 6.6, 6.2, 9.5, 5.5, 10.1, 12.9, 10.0, 9.1, 9.4, 7.2, 7.0
0.17, 7.0, 6.5, 6.7, 9.0, 8.9, 9.9, 12.6, 9.2, 5.4, 7.8, 6.2, 6.8, 7.7, 8.1, 8.5, 8.9, 8.9, 8.9, 9.4, 8.9, 9.0, 8.9, 8.8, 8.5, 7.6, 6.7, 6.4, 8.2, 5.5, 9.4, 12.7, 10.0, 9.0, 9.2, 6.9, 6.8
0.18, 6.7, 6.3, 6.5, 8.9, 8.8, 9.8, 12.8, 10.0, 5.4, 9.2, 6.2, 6.9, 7.7, 8.2, 8.6, 8.9, 8.9, 8.9, 9.4, 8.9, 9.0, 9.0, 8.8, 8.5, 7.6, 6.7, 6.4, 9.0, 5.4, 9.9, 12.9, 9.9, 9.0, 9.0, 6.8, 6.5
0.20, 6.5, 6.1, 6.2, 8.7, 8.7, 9.7, 12.6, 9.3, 5.5, 7.6, 6.3, 7.0, 7.8, 8.2, 8.6, 8.9, 8.9, 8.9, 9.4, 9.0, 9.0, 9.0, 8.9, 8.5, 7.7, 6.8, 6.6, 8.2, 5.5, 9.4, 12.6, 9.9, 8.8, 8.8, 6.4, 6.3
0.21, 6.3, 5.9, 6.1, 8.6, 8.7, 9.7, 12.7, 9.7, 5.4, 9.3, 6.3, 7.1, 7.8, 8.2, 8.7, 8.9, 8.9, 8.9, 9.4, 9.0, 9.0, 9.0, 8.9, 8.5, 7.8, 6.8, 6.6, 9.2, 5.5, 9.7, 12.9, 9.8, 8.8, 8.7, 6.3, 6.0
0.21, 6.1, 5.7, 5.8, 8.4, 8.6, 9.7, 12.5, 9.1, 5.3, 7.5, 6.5, 7.1, 7.9, 8.2, 8.7, 8.9, 8.9, 9.0, 9.4, 9.0, 9.0, 9.0, 8.9, 8.6, 7.8, 6.9, 6.7, 8.0, 5.5, 9.2, 12.5, 9.8, 8.7, 8.6, 6.0, 5.8
0.23, 5.9, 5.5, 5.8, 8.4, 8.6, 9.6, 12.7, 9.5, 5.4, 9.0, 6.4, 7.2, 7.9, 8.3, 8.7, 8.9, 8.9, 9.0, 9.4, 9.0, 9.1, 9.0, 8.9, 8.6, 7.9, 7.0, 6.7, 9.2, 5.4, 9.8, 12.8, 9.7, 8.7, 8.5, 5.9, 5.7
